direction	angle	index	help	smooth							
straight	-23	0	1	1							
left	-28	1	1	1							
left	-78	1	2	1							
right	100	-1	1	1							
left	-64	1	1	1							
straight	-11	0	1	1							
left	-36	1	1	1							
right	36	-1	1	1							
left	-65	1	1	1							
left	-36	1	2	1							
left	-32	1	3	1							
left	-29	1	4	1							
left	-35	1	5	1							
straight	-6	0	1	1							
left	-33	1	1	1							
left	-75	1	2	1							
straight	-1	0	1	1							
left	-56	1	1	1							
straight	-11	0	1	1							
straight	-17	0	2	1							
left	-27	1	1	1							
left	-72	1	2	1							
left	-76	1	3	1							
straight	25	0	1	1							
left	-31	1	1	1							
left	-32	1	2	1							
left	-71	1	3	1							
right	96	-1	1	1							
right	40	-1	2	1							
left	-49	1	1	1							
right	95	-1	1	1							
straight	-12	0	1	1							
straight	-2	0	2	1							
straight	-14	0	3	1							
straight	-14	0	4	1							
left	-67	1	1	1							
straight	-7	0	1	1							
left	-82	1	1	1							
straight	-8	0	1	1							
straight	-10	0	2	1							
right	100	-1	1	1							
straight	-2	0	1	1							
right	100	-1	1	1							
right	90	-1	2	1							
right	92	-1	3	1							
right	100	-1	4	1							
right	100	-1	5	1							
straight	-3	0	1	1							
straight	6	0	2	1							
straight	-23	0	3	1							
straight	4	0	4	1							
right	95	-1	1	1							
right	91	-1	2	1							
right	94	-1	3	1							
right	99	-1	4	1							
right	100	-1	5	1							
right	100	-1	6	-1							
right	98	-1	7	-1							
right	99	-1	8	-1							
right	100	-1	9	-1							
right	100	-1	10	-1							
right	100	-1	11	-1							
right	92	-1	12	-1							
right	100	-1	13	-1							
right	100	-1	14	-1							
right	98	-1	15	-1							
straight	-8	0	1	-1							
right	100	-1	1	-1							
right	93	-1	2	-1							
right	100	-1	3	-1							
right	100	-1	4	-1							
right	100	-1	5	-1							
right	100	-1	6	-1							
right	95	-1	7	-1							
right	91	-1	8	-1							
right	98	-1	9	-1							
right	100	-1	10	-1							
right	100	-1	11	-1							
right	100	-1	12	-1							
right	99	-1	13	-1							
right	100	-1	14	-1							
right	96	-1	15	-1							
right	44	-1	16	-1							
right	100	-1	17	-1							
right	100	-1	18	-1							
right	100	-1	19	-1							
right	100	-1	20	-1							
right	100	-1	21	-1							
right	100	-1	22	-1							
right	100	-1	23	-1							
right	100	-1	24	-1							
right	98	-1	25	-1							
right	100	-1	26	-1							
right	100	-1	27	-1							
right	67	-1	28	-1							
right	100	-1	29	-1							
right	100	-1	30	-1							
right	100	-1	31	-1							
right	100	-1	32	-1							
right	72	-1	33	-1							
right	100	-1	34	-1							
right	100	-1	35	-1							
right	100	-1	36	-1							
right	100	-1	37	-1							
right	100	-1	38	-1							
straight	-25	0	1	-1							
right	96	-1	1	-1							
right	90	-1	2	-1							
right	100	-1	3	-1							
right	92	-1	4	-1							
right	94	-1	5	-1							
right	96	-1	6	-1							
right	100	-1	7	-1							
right	100	-1	8	-1							
right	97	-1	9	-1							
right	100	-1	10	-1							
right	100	-1	11	-1							
right	95	-1	12	-1							
right	100	-1	13	-1							
right	93	-1	14	-1							
right	100	-1	15	-1							
right	100	-1	16	-1							
right	98	-1	17	-1							
right	100	-1	18	-1							
right	90	-1	19	-1							
right	100	-1	20	-1							
right	88	-1	21	-1							
right	100	-1	22	-1							
right	95	-1	23	-1							
right	100	-1	24	-1							
right	89	-1	25	-1							
right	90	-1	26	-1							
right	88	-1	27	-1							
right	100	-1	28	-1							
right	86	-1	29	-1							
right	90	-1	30	-1							
right	88	-1	31	-1							
right	90	-1	32	-1							
right	91	-1	33	-1							
right	94	-1	34	-1							
right	91	-1	35	-1							
right	85	-1	36	-1							
right	80	-1	37	-1							
right	90	-1	38	-1							
right	90	-1	39	-1							
right	93	-1	40	-1							
right	98	-1	41	-1							
right	94	-1	42	-1							
right	100	-1	43	-1							
right	91	-1	44	-1							
right	86	-1	45	-1							
right	100	-1	46	-1							
right	78	-1	47	-1							
right	94	-1	48	-1							
right	91	-1	49	-1							
right	82	-1	50	-1							
right	90	-1	51	-1							
right	100	-1	52	-1							
right	100	-1	53	-1							
right	85	-1	54	-1							
right	87	-1	55	-1							
right	69	-1	56	-1							
right	85	-1	57	-1							
left	-100	1	1	-1							
right	91	-1	1	-1							
right	86	-1	2	-1							
right	86	-1	3	-1							
right	100	-1	4	-1							
right	92	-1	5	-1							
right	81	-1	6	-1							
right	96	-1	7	-1							
right	83	-1	8	-1							
right	84	-1	9	-1							
right	73	-1	10	-1							
right	65	-1	11	-1							
right	82	-1	12	-1							
right	60	-1	13	-1							
right	67	-1	14	-1							
right	97	-1	15	-1							
right	78	-1	16	-1							
right	85	-1	17	-1							
right	73	-1	18	-1							
right	90	-1	19	-1							
right	85	-1	20	-1							
right	70	-1	21	-1							
right	69	-1	22	-1							
right	71	-1	23	-1							
right	70	-1	24	-1							
right	85	-1	25	-1							
right	69	-1	26	-1							
right	69	-1	27	-1							
right	65	-1	28	-1							
right	68	-1	29	-1							
right	74	-1	30	-1							
right	67	-1	31	-1							
right	66	-1	32	-1							
right	62	-1	33	-1							
right	61	-1	34	-1							
right	63	-1	35	-1							
right	64	-1	36	-1							
right	59	-1	37	-1							
right	58	-1	38	-1							
right	63	-1	39	-1							
right	57	-1	40	-1							
right	54	-1	41	-1							
right	53	-1	42	-1							
left	-59	1	1	-1							
right	57	-1	1	-1							
right	54	-1	2	-1							
right	52	-1	3	-1							
right	58	-1	4	-1							
right	60	-1	5	-1							
right	49	-1	6	-1							
right	59	-1	7	-1							
right	45	-1	8	-1							
right	59	-1	9	-1							
right	46	-1	10	-1							
right	40	-1	11	-1							
left	-40	1	1	-1							
right	49	-1	1	-1							
right	71	-1	2	-1							
right	46	-1	3	-1							
right	42	-1	4	-1							
right	52	-1	5	-1							
right	54	-1	6	-1							
right	39	-1	7	-1							
right	43	-1	8	-1							
right	35	-1	9	-1							
right	89	-1	10	-1							
right	40	-1	11	-1							
right	39	-1	12	-1							
right	28	-1	13	-1							
right	45	-1	14	-1							
right	77	-1	15	-1							
right	100	-1	16	-1							
right	49	-1	17	-1							
right	72	-1	18	-1							
right	100	-1	19	-1							
right	29	-1	20	-1							
right	88	-1	21	-1							
straight	23	0	1	-1							
right	41	-1	1	-1							
right	61	-1	2	-1							
right	32	-1	3	-1							
right	80	-1	4	-1							
right	91	-1	5	-1							
right	31	-1	6	-1							
left	-52	1	1	-1							
right	39	-1	1	-1							
right	31	-1	2	-1							
right	67	-1	3	-1							
right	100	-1	4	-1							
straight	22	0	1	-1							
right	28	-1	1	-1							
straight	25	0	1	-1							
right	100	-1	1	-1							
right	29	-1	2	-1							
right	33	-1	3	-1							
right	100	-1	4	-1							
right	90	-1	5	-1							
right	100	-1	6	-1							
left	-100	1	1	-1							
straight	19	0	1	-1							
left	-100	1	1	-1							
straight	15	0	1	-1							
left	-100	1	1	-1							
left	-100	1	2	-1							
right	100	-1	1	-1							
right	100	-1	2	-1							
straight	20	0	1	-1							
right	90	-1	1	-1							
right	97	-1	2	-1							
right	100	-1	3	-1							
right	89	-1	4	-1							
left	-93	1	1	-1							
left	-27	1	2	-1							
left	-43	1	3	-1							
left	-92	1	4	-1							
right	47	-1	1	-1							
right	61	-1	2	-1							
left	-91	1	1	-1							
right	100	-1	1	-1							
straight	-20	0	1	-1							
left	-49	1	1	-1							
right	100	-1	1	-1							
right	100	-1	2	-1							
left	-100	1	1	-1							
right	26	-1	1	-1							
straight	8	0	1	-1							
left	-60	1	1	-1							
left	-62	1	2	-1							
straight	-8	0	1	-1							
right	53	-1	1	-1							
right	45	-1	2	-1							
left	-40	1	1	-1							
right	46	-1	1	-1							
left	-63	1	1	-1							
left	-84	1	2	-1							
left	-42	1	3	-1							
left	-87	1	4	-1							
left	-56	1	5	-1							
left	-89	1	6	1							
left	-50	1	7	1							
left	-48	1	8	1							
